Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
SP1,02/09/2003,Osasuna,Valencia,0,1,A,0,0,D,2.87,3.2,2.3,2.85,3.2,2.32,2.8,2.9,2.3,2.75,3.2,2.25,2.88,3.2,2.2,2.87,3.1,2.25,2.87,3.1,2.2
SP1,02/09/2003,Sociedad,Celta,1,1,D,1,0,H,1.9,3.25,3.75,1.9,3.3,3.7,1.9,3.1,3.5,1.8,3.25,3.75,1.91,3.2,3.6,1.9,3.2,3.6,1.9,3.2,3.5
SP1,02/09/2003,Villarreal,Real Madrid,1,1,D,0,0,D,4,3.4,1.8,4.25,3.4,1.81,3.6,3.1,1.85,4.333,3.2,1.727,4,3.4,1.73,4,3.4,1.75,3.75,3.3,1.8
SP1,03/09/2003,Ath Madrid,Albacete,1,0,H,0,0,D,1.53,3.4,6.5,1.45,3.75,7,1.45,3.6,5.8,1.444,3.6,6.5,1.44,3.75,6.5,1.44,3.75,6.5,1.44,3.6,6.5
SP1,03/09/2003,Barcelona,Sevilla,1,1,D,0,1,A,1.57,3.4,6,1.53,3.65,5.75,1.5,3.7,5,1.571,3.5,5,1.44,3.75,6.5,1.44,3.75,6.5,1.5,3.6,5.5
SP1,03/09/2003,Betis,Espanol,2,2,D,2,0,H,1.72,3.25,4.75,1.7,3.4,4.6,1.8,3.1,3.8,1.667,3.25,4.5,1.73,3.2,4.5,1.72,3.2,4.5,1.66,3.3,4.5
SP1,03/09/2003,La Coruna,Ath Bilbao,2,0,H,1,0,H,1.57,3.4,6,1.5,3.75,6,1.5,3.5,5.4,1.571,3.25,5.5,1.5,3.5,6,1.5,3.5,6,1.5,3.4,6
SP1,03/09/2003,Mallorca,Zaragoza,2,0,H,1,0,H,1.72,3.4,4.5,1.75,3.4,4.25,1.8,3.1,3.8,1.727,3.2,4.333,1.67,3.4,4.5,1.66,3.4,4.5,1.72,3.4,4
SP1,03/09/2003,Murcia,Santander,1,1,D,1,1,D,2.25,3.2,2.9,2.15,3.2,3.1,2,3,3.3,2.1,3.2,3,2.25,3.2,2.8,2.25,3.2,2.8,2,3.2,3.2
SP1,03/09/2003,Valladolid,Malaga,1,0,H,1,0,H,1.9,3.25,3.75,1.95,3.25,3.6,1.9,3,3.6,2,3.2,3.2,1.91,3.2,3.6,1.9,3.2,3.6,1.9,3.2,3.5
SP1,13/09/2003,Celta,Betis,0,2,A,0,1,A,1.8,3.2,4.33,1.85,3.2,4.1,1.85,3.1,3.6,1.8,3.2,4,1.91,3.25,3.5,1.9,3.2,3.6,1.8,3.1,4
SP1,13/09/2003,Real Madrid,Valladolid,7,2,H,3,0,H,1.28,4.5,10,1.28,4.75,9.5,1.3,4.2,8,1.333,4,8,1.25,4.5,10,1.25,4.75,10,1.25,4.5,10
SP1,13/09/2003,Santander,Sociedad,0,1,A,0,1,A,2.6,3.2,2.5,2.65,3.05,2.55,2.5,3,2.5,2.5,3.2,2.5,2.62,3,2.5,2.6,3,2.5,2.4,3.1,2.6
SP1,13/09/2003,Sevilla,La Coruna,1,2,A,0,1,A,2.7,3.2,2.4,2.65,3.05,2.55,2.7,3,2.3,2.5,3.2,2.5,2.62,3,2.5,2.6,3,2.5,2.62,2.9,2.5
SP1,14/09/2003,Albacete,Barcelona,1,2,A,0,1,A,4.75,3.25,1.72,4.3,3.3,1.78,3.8,3.1,1.8,3.75,3.25,1.8,4.33,3.25,1.73,4.2,3.25,1.75,3.75,3.2,1.83
SP1,14/09/2003,Ath Bilbao,Mallorca,4,0,H,2,0,H,2,3.2,3.5,2.02,3.15,3.5,1.9,3.1,3.5,1.909,3.2,3.5,2,3.25,3.25,2,3.1,3.4,1.9,3.2,3.5
SP1,14/09/2003,Espanol,Villarreal,1,2,A,1,1,D,2.25,3.2,2.9,2.3,3.1,2.93,2.1,2.9,3.2,2.25,3,2.875,2.25,3,3,2.3,3,2.87,2.1,3,3.2
SP1,14/09/2003,Osasuna,Ath Madrid,1,0,H,1,0,H,2.37,3.2,2.75,2.5,3.05,2.7,2.4,3,2.6,2.375,3.2,2.6,2.5,3,2.62,2.5,3,2.6,2.37,3.1,2.62
SP1,14/09/2003,Valencia,Malaga,1,0,H,1,0,H,1.4,3.75,8.5,1.42,3.75,8,1.5,3.5,5.4,1.4,3.75,7,1.44,3.5,7,1.44,3.6,7,1.36,3.6,9
SP1,14/09/2003,Zaragoza,Murcia,3,0,H,3,0,H,2.1,3.2,3.25,2.02,3.1,3.65,1.8,3.1,3.8,2.1,3.2,3,2,3.25,3.25,2,3.1,3.4,1.9,3.1,3.6
SP1,20/09/2003,Ath Madrid,Valencia,0,3,A,0,0,D,2.37,3.2,2.75,2.5,3.1,2.65,2.3,3,2.7,2.5,2.875,2.625,2.4,3.1,2.7,2.4,3.1,2.7,2.5,3.1,2.5
SP1,20/09/2003,Barcelona,Osasuna,1,1,D,0,0,D,1.36,4,8.5,1.33,4.25,9,1.35,4,7,1.3,4.333,8,1.33,4,8.5,1.33,4,8.5,1.33,4.2,7.5
SP1,21/09/2003,Betis,Santander,0,0,D,0,0,D,1.66,3.4,5,1.65,3.4,5,1.6,3.3,4.8,1.615,3.25,5,1.62,3.4,5,1.61,3.4,5,1.66,3.1,5
SP1,21/09/2003,La Coruna,Albacete,3,0,H,0,0,D,1.28,4.5,10,1.3,4.5,9.5,1.3,4.2,8,1.25,4.5,10,1.29,4.5,8.5,1.28,4.5,8.5,1.22,5,9.5
SP1,21/09/2003,Malaga,Real Madrid,1,3,A,0,1,A,5,3.4,1.66,5.1,3.5,1.6,4.4,3.3,1.65,4.5,3.5,1.615,4.5,3.4,1.67,4.5,3.4,1.66,5.5,3.3,1.57
SP1,21/09/2003,Mallorca,Sevilla,1,1,D,1,1,D,2.1,3.25,3.2,2.15,3.2,3.1,2.1,3,3.1,2.2,3.2,2.8,2.1,3.2,3.1,2.1,3.2,3.1,2.1,3.1,3.1
SP1,21/09/2003,Murcia,Ath Bilbao,2,2,D,1,1,D,2.37,3.2,2.75,2.45,3.1,2.7,2.5,3,2.5,2.25,3.2,2.75,2.38,3.1,2.7,2.37,3.1,2.7,2.3,3.1,2.75
SP1,21/09/2003,Sociedad,Zaragoza,3,0,H,0,0,D,1.57,3.4,6,1.6,3.4,5.5,1.6,3.3,4.8,1.5,3.4,6,1.57,3.4,5.5,1.57,3.4,5.5,1.57,3.3,5.5
SP1,21/09/2003,Valladolid,Espanol,3,1,H,2,1,H,2,3.2,3.5,2.1,3.1,3.35,2,3.1,3.2,1.833,3.2,3.75,2,3.1,3.4,2,3.1,3.4,2.1,3,3.2
SP1,21/09/2003,Villarreal,Celta,1,1,D,0,0,D,2.25,3.2,2.9,2.2,3.1,3.1,2,3.1,3.2,2.1,3.2,3,2.25,3.1,2.88,2.25,3.1,2.87,2.1,3.1,3.1
SP1,27/09/2003,Ath Bilbao,Sociedad,1,0,H,0,0,D,2.3,3.2,2.7,2.4,3.1,2.8,2.3,3,2.7,2.375,3.2,2.6,2.38,3.25,2.63,2.4,3,2.75,2.5,3.1,2.5
SP1,27/09/2003,Celta,Valladolid,3,2,H,0,1,A,1.72,3.2,4.5,1.75,3.3,4.5,1.65,3.2,4.6,1.727,3.2,4.333,1.73,3.25,4.33,1.72,3.25,4.33,1.61,3.3,5
SP1,27/09/2003,Osasuna,La Coruna,3,2,H,3,1,H,2.8,3.2,2.25,2.95,3.2,2.25,3.1,3,2.1,3,3.2,2.1,3,3,2.25,3,3,2.25,3.1,3.1,2.1
SP1,27/09/2003,Valencia,Real Madrid,2,0,H,1,0,H,2.62,3.2,2.37,2.75,3.15,2.4,2.9,3,2.2,2.8,3.2,2.2,2.75,3.2,2.25,2.7,3.1,2.37,2.87,3.1,2.2
SP1,28/09/2003,Albacete,Mallorca,2,0,H,1,0,H,2.6,3.2,2.4,2.6,3.2,2.5,2.5,3,2.5,2.6,3.2,2.375,2.63,3.25,2.38,2.6,3,2.5,2.6,3.1,2.4
SP1,28/09/2003,Ath Madrid,Barcelona,0,0,D,0,0,D,2.5,3.2,2.5,2.7,3.15,2.45,2.5,3,2.5,2.75,3.2,2.25,2.4,3,2.75,2.6,3.2,2.4,2.62,3.2,2.3
SP1,28/09/2003,Espanol,Malaga,1,2,A,0,1,A,2,3,3.5,2,3.2,3.5,1.85,3.1,3.6,1.909,3,3.75,2,3.25,3.25,2,3.1,3.4,1.9,3.2,3.5
SP1,28/09/2003,Santander,Villarreal,0,2,A,0,0,D,2.25,3.2,2.8,2.35,3.1,2.85,2.2,3,2.9,2.25,3.2,2.75,2.25,3,3,2.3,3,2.87,2.3,3.1,2.75
SP1,28/09/2003,Sevilla,Murcia,1,0,H,0,0,D,1.66,3.2,5,1.7,3.25,5,1.65,3.2,4.6,1.615,3.25,5,1.67,3.25,5,1.7,3.1,5,1.61,3.3,5
SP1,28/09/2003,Zaragoza,Betis,0,1,A,0,0,D,2.25,3.2,2.8,2.4,3.1,2.8,2.5,3,2.5,2.375,3.2,2.6,2.2,3.25,2.88,2.3,3.1,2.8,2.25,3.1,2.8
SP1,04/10/2003,Betis,Ath Bilbao,1,1,D,0,0,D,1.9,3.25,3.5,1.95,3.25,3.6,1.85,3.1,3.6,1.8,3.2,4,1.91,3.2,3.6,1.9,3.2,3.6,2,3.1,3.3
SP1,04/10/2003,La Coruna,Ath Madrid,5,1,H,2,1,H,1.44,3.75,6.5,1.5,3.6,6.5,1.5,3.5,5.4,1.444,3.6,6.5,1.5,3.5,6,1.5,3.6,5.75,1.5,3.4,6
SP1,04/10/2003,Villarreal,Zaragoza,1,1,D,1,1,D,1.72,3.2,4.5,1.75,3.3,4.5,1.6,3.4,4.6,1.667,3.25,4.5,1.67,3.4,4.5,1.7,3.25,4.5,1.66,3.3,4.5
SP1,05/10/2003,Barcelona,Valencia,0,1,A,0,1,A,2.2,3.25,2.8,2.3,3.1,2.9,2.1,3,3.1,2.25,3.2,2.75,2.38,3.2,2.63,2.2,3.1,3,2.3,3.2,2.62
SP1,05/10/2003,Malaga,Celta,2,1,H,1,0,H,2.4,3.2,2.6,2.55,3,2.65,2.5,3,2.5,2.5,2.875,2.625,2.4,3.2,2.6,2.4,3.2,2.6,2.5,2.9,2.62
SP1,05/10/2003,Mallorca,Osasuna,1,1,D,0,0,D,2,3.25,3.25,2.1,3.2,3.3,2,3.1,3.2,2.1,3.2,3,2,3.1,3.4,2,3.1,3.4,2.1,3.2,3
SP1,05/10/2003,Murcia,Albacete,1,0,H,1,0,H,1.9,3.25,3.5,1.95,3.15,3.75,1.9,3.1,3.5,1.833,3.2,3.75,2,3.1,3.4,2,3.1,3.4,1.9,3.2,3.5
SP1,05/10/2003,Real Madrid,Espanol,2,1,H,0,0,D,1.2,5,12,1.25,5,10,1.2,5,10,1.2,5,11,1.2,5,12,1.2,5,12,1.16,5.5,12
SP1,05/10/2003,Sociedad,Sevilla,1,1,D,1,1,D,1.66,3.2,5,1.7,3.3,4.8,1.65,3.2,4.6,1.667,3.25,4.5,1.67,3.25,4.75,1.7,3.25,4.5,1.61,3.3,5
SP1,05/10/2003,Valladolid,Santander,0,4,A,0,1,A,1.9,3.25,3.5,1.95,3.25,3.6,1.85,3.1,3.6,1.833,3.2,3.75,1.83,3.2,3.8,1.85,3.2,3.8,2,3.1,3.3
SP1,18/10/2003,Albacete,Sociedad,3,1,H,0,0,D,3.25,3.25,2,3.6,3.3,1.91,3.2,3.1,2,3.2,3.2,2,3.25,3.25,2,3.4,3.1,2,3.2,3,2.1
SP1,18/10/2003,Barcelona,La Coruna,0,2,A,0,1,A,2.37,3.2,2.62,2.3,3.15,2.85,2.3,3,2.7,2.375,3.2,2.6,2.25,3.25,2.75,2.3,3.2,2.7,2.3,3.2,2.62
SP1,18/10/2003,Celta,Real Madrid,0,2,A,0,1,A,3.5,3.25,1.9,4,3.25,1.83,3.5,3.1,1.9,3.75,3.2,1.833,3.75,3.25,1.83,3.75,3.25,1.85,3.75,3.2,1.83
SP1,19/10/2003,Ath Bilbao,Villarreal,2,0,H,0,0,D,1.9,3.25,3.5,2,3.15,3.5,2,3,3.3,1.909,3.2,3.5,1.91,3.25,3.5,1.9,3.2,3.6,2,3.1,3.3
SP1,19/10/2003,Ath Madrid,Mallorca,2,1,H,1,1,D,2,3.25,3.25,2,3.25,3.4,1.85,3.1,3.6,1.8,3.25,3.75,2,3.25,3.25,2,3.2,3.3,1.83,3.2,3.75
SP1,19/10/2003,Osasuna,Murcia,2,1,H,1,1,D,1.72,3.25,4.33,1.7,3.3,4.75,1.65,3.2,4.6,1.727,3.2,4.333,1.67,3.25,5,1.66,3.25,4.75,1.72,3.1,4.5
SP1,19/10/2003,Santander,Malaga,4,2,H,0,1,A,2,3.25,3.25,2,3.15,3.5,2,3,3.3,2,3.2,3.2,2,3.25,3.25,2,3.2,3.3,2,3,3.4
SP1,19/10/2003,Sevilla,Betis,2,2,D,0,0,D,2.3,3,2.87,2.3,3.1,2.9,2.5,2.7,2.8,2.25,3,2.875,2.38,3,2.75,2.3,3,2.87,2.3,2.8,3
SP1,19/10/2003,Valencia,Espanol,4,0,H,3,0,H,1.3,4.33,9,1.31,4.5,9,1.3,4,8.5,1.2,5,11,1.25,5,8.5,1.28,4.5,8.5,1.28,4.33,8.5
SP1,19/10/2003,Zaragoza,Valladolid,1,0,H,1,0,H,2.1,3.25,3,2,3.25,3.4,2,3,3.3,2,3.2,3.2,2,3.25,3.25,2,3.1,3.4,2,3.1,3.3
SP1,25/10/2003,La Coruna,Valencia,2,1,H,1,0,H,2.2,3.1,3,2.2,3.1,3.1,2,3.1,3.2,2.2,3.2,2.8,2.2,3,3.1,2.2,3,3.1,2.1,3.1,3.1
SP1,25/10/2003,Malaga,Zaragoza,2,1,H,2,0,H,2,3.25,3.25,2,3.1,3.6,2,3,3.3,2,3,3.4,1.91,3.2,3.6,1.9,3.2,3.6,2,3,3.4
SP1,25/10/2003,Real Madrid,Santander,3,1,H,1,1,D,1.22,5,10,1.2,5.2,11,1.25,4.5,9,1.222,5,10,1.2,5.5,10,1.2,5.5,10,1.22,5,9.5
SP1,26/10/2003,Betis,Albacete,3,2,H,2,1,H,1.57,3.4,5.5,1.55,3.45,6.1,1.55,3.4,5,1.5,3.4,6,1.53,3.4,6,1.53,3.4,6,1.53,3.25,6
SP1,26/10/2003,Espanol,Celta,0,4,A,0,1,A,2.37,3.2,2.62,2.45,3.2,2.65,2.3,3,2.7,2.625,2.875,2.5,2.5,3,2.6,2.5,3,2.6,2.5,3.1,2.5
SP1,26/10/2003,Mallorca,Barcelona,1,3,A,0,2,A,2.5,3.2,2.5,2.65,3.2,2.45,2.7,3,2.3,2.6,3.2,2.375,2.63,3.2,2.38,2.62,3.2,2.37,2.62,3.1,2.37
SP1,26/10/2003,Murcia,Ath Madrid,1,3,A,0,2,A,2.3,3.2,2.7,2.4,3.25,2.65,2.4,2.9,2.7,2.2,3.2,2.8,2.38,3,2.75,2.37,3,2.75,2.3,3,2.8
SP1,26/10/2003,Sociedad,Osasuna,1,0,H,0,0,D,1.72,3.25,4.33,1.75,3.35,4.5,1.8,3.1,3.8,1.727,3.2,4.333,1.7,3.25,4.5,1.7,3.25,4.5,1.72,3.1,4.5
SP1,26/10/2003,Valladolid,Ath Bilbao,2,0,H,1,0,H,2.3,3.2,2.7,2.4,3.25,2.7,2.3,3,2.7,2.5,3.2,2.5,2.3,3,2.88,2.3,3,2.87,2.3,3.1,2.75
SP1,26/10/2003,Villarreal,Sevilla,3,3,D,1,2,A,2.1,3.25,3,2.2,3.05,3.15,2,2.9,3.4,2,3,3.4,2.1,3,3.25,2.1,3,3.25,2,3.1,3.3
SP1,28/10/2003,Zaragoza,Real Madrid,0,0,D,0,0,D,5,3.4,1.61,5.6,3.6,1.55,4.8,3.5,1.55,5,3.25,1.62,5.5,3.5,1.53,5.5,3.4,1.57,5.5,3.4,1.53
SP1,29/10/2003,Albacete,Villarreal,2,0,H,0,0,D,2.5,3.2,2.5,2.5,3.15,2.6,2.5,3,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.5,3.2,2.5,2.37,3.1,2.62
SP1,29/10/2003,Ath Bilbao,Malaga,2,1,H,0,1,A,1.66,3.4,4.5,1.7,3.3,4.7,1.75,3.2,4,1.67,3.25,4.5,1.67,3.5,4.5,1.67,3.25,4.75,1.66,3.1,5
SP1,29/10/2003,Barcelona,Murcia,3,0,H,1,0,H,1.36,4,7.5,1.35,4.2,8,1.25,4.5,9,1.44,3.75,6,1.36,4,7.5,1.36,4,7.5,1.33,4,8
SP1,29/10/2003,La Coruna,Mallorca,0,2,A,0,0,D,1.3,4.5,8,1.35,4.2,8,1.3,4.2,8,1.29,4.5,8,1.3,4.33,8.5,1.3,4.33,8.5,1.33,4,8
SP1,29/10/2003,Osasuna,Betis,2,0,H,0,0,D,2.2,3.25,2.8,2.2,3.1,3.05,2.3,2.8,2.9,2.1,3.2,3,2.2,3.1,3,2.2,3.1,3,2.2,3,3
SP1,29/10/2003,Santander,Espanol,0,1,A,0,0,D,1.66,3.4,4.5,1.65,3.3,5.1,1.7,3.2,4.2,1.62,3.25,5,1.67,3.5,4.5,1.67,3.25,4.75,1.66,3.1,5
SP1,29/10/2003,Sevilla,Valladolid,1,1,D,1,0,H,1.66,3.4,4.5,1.72,3.25,4.7,1.75,3.2,4,1.67,3.25,4.5,1.67,3.5,4.5,1.67,3.25,4.75,1.66,3.1,5
SP1,29/10/2003,Valencia,Celta,2,2,D,1,0,H,1.53,3.5,5.5,1.55,3.4,6,1.6,3.3,4.8,1.5,3.4,6,1.53,3.4,6,1.53,3.4,6,1.53,3.25,6
SP1,30/10/2003,Ath Madrid,Sociedad,4,0,H,1,0,H,2.3,3.2,2.7,2.3,3.2,2.8,2.4,2.9,2.7,2.38,3.2,2.6,2.38,3.2,2.62,2.38,3.2,2.62,2.3,3.1,2.75
SP1,01/11/2003,Celta,Santander,0,1,A,0,1,A,1.61,3.4,5,1.75,3.25,4.5,1.75,3.2,4,1.67,3.25,4.5,1.67,3.25,4.75,1.67,3.25,4.75,1.61,3.3,5
SP1,01/11/2003,Murcia,La Coruna,0,0,D,0,0,D,4,3.25,1.8,4.25,3.25,1.8,4,3.2,1.75,4,3.2,1.8,4.33,3.25,1.73,4.33,3.25,1.73,4.2,3.25,1.72
SP1,01/11/2003,Real Madrid,Ath Bilbao,3,0,H,1,0,H,1.28,4.5,9,1.28,4.75,9,1.27,4.3,8.5,1.29,4.5,8,1.25,4.6,10,1.25,4.6,10,1.25,4.5,10
SP1,02/11/2003,Betis,Ath Madrid,1,2,A,1,1,D,1.8,3.25,4,1.9,3.1,4,,,,1.8,3.25,3.75,1.85,3.2,3.75,1.85,3.2,3.75,1.9,3.1,3.6
SP1,02/11/2003,Espanol,Zaragoza,0,2,A,0,2,A,2.1,3.25,3,2.2,3.2,3,1.9,3.2,3.4,2.25,3.2,2.75,2.2,3.2,2.88,2.2,3.2,2.88,2.25,3.1,2.8
SP1,02/11/2003,Malaga,Sevilla,2,0,H,2,0,H,2.2,3.25,2.8,2.25,3.1,3,2.2,2.7,3.2,2.2,3.2,2.8,2.25,3.1,2.88,2.25,3.1,2.88,2.2,2.87,3.1
SP1,02/11/2003,Mallorca,Valencia,0,5,A,0,3,A,3,3.25,2.1,3.5,3.2,2,3.2,2.9,2.1,3.75,3.2,1.83,3.5,3,2,3.5,3,2,3.3,3.1,2
SP1,02/11/2003,Sociedad,Barcelona,3,3,D,0,1,A,2.3,3.2,2.7,2.4,3.1,2.75,2.7,3,2.3,2.2,3.2,2.8,2.3,3.2,2.7,2.3,3.2,2.7,2.3,3.2,2.62
SP1,02/11/2003,Valladolid,Albacete,2,0,H,1,0,H,1.8,3.25,4,1.8,3.25,4.25,1.7,3.2,4.2,1.67,3.25,4.5,1.75,3.25,4.2,1.75,3.25,4.2,1.72,3.2,4.33
SP1,02/11/2003,Villarreal,Osasuna,1,0,H,1,0,H,2.1,3.25,3,2.1,3.1,3.3,2.1,2.7,3.5,2.1,3.2,3,2.1,3.1,3.2,2.1,3.1,3.2,2,3.1,3.3
SP1,08/11/2003,Ath Bilbao,Espanol,1,0,H,1,0,H,1.57,3.4,5.5,1.55,3.6,5.5,1.6,3.4,4.6,1.533,3.5,5.5,1.53,3.5,5.5,1.53,3.5,5.5,1.5,3.4,6
SP1,08/11/2003,La Coruna,Sociedad,2,1,H,0,1,A,1.66,3.4,4.5,1.65,3.5,4.85,1.7,3.2,4.2,1.615,3.25,5,1.67,3.4,4.5,1.61,3.4,5,1.57,3.3,5.5
SP1,08/11/2003,Zaragoza,Celta,1,1,D,1,1,D,2.25,3.25,2.75,2.28,3.15,2.88,2.5,3,2.5,2.25,3.2,2.75,2.25,3.25,2.75,2.3,3.1,2.8,2.37,3,2.7
SP1,09/11/2003,Albacete,Malaga,0,1,A,0,0,D,2.25,3.25,2.75,2.15,3.15,3.15,2.1,3,3.1,2,3.2,3.2,2.2,3.1,3,2.2,3.1,3,2.1,3.1,3.1
SP1,09/11/2003,Ath Madrid,Villarreal,1,0,H,0,0,D,1.72,3.25,4.33,1.8,3.2,4.25,1.75,3.2,4,1.727,3.2,4.333,1.8,3.25,4,1.8,3.25,4,1.72,3.25,4.2
SP1,09/11/2003,Barcelona,Betis,2,1,H,1,0,H,1.61,3.4,5,1.6,3.5,5.25,1.55,3.5,4.8,1.533,3.5,5.5,1.53,3.5,5.5,1.53,3.5,5.5,1.61,3.3,5
SP1,09/11/2003,Mallorca,Murcia,4,1,H,3,1,H,1.83,3.25,3.75,1.9,3.25,3.75,1.8,3.1,3.8,1.8,3.2,4,1.8,3.25,4,1.8,3.25,4,1.8,3.1,4
SP1,09/11/2003,Osasuna,Valladolid,1,1,D,1,1,D,1.8,3.25,4,1.8,3.25,4.2,1.75,3.2,4,1.727,3.2,4.333,1.8,3.25,4,1.8,3.25,4,1.66,3.3,4.5
SP1,09/11/2003,Sevilla,Real Madrid,4,1,H,4,0,H,5,3.4,1.61,4.45,3.4,1.72,4.4,3.3,1.65,4.5,3.25,1.667,4.5,3.4,1.67,4.5,3.4,1.66,4.33,3.2,1.72
SP1,09/11/2003,Valencia,Santander,1,2,A,1,1,D,1.44,3.75,6.5,1.38,4,8,1.4,3.7,6.5,1.4,3.75,7,1.4,3.75,7.5,1.4,3.75,7.5,1.36,3.75,8
SP1,22/11/2003,Betis,La Coruna,0,0,D,0,0,D,2.62,3.2,2.37,2.75,3.2,2.4,2.7,3,2.3,2.6,3.2,2.38,2.7,3.1,2.38,2.7,3.1,2.38,2.7,3,2.37
SP1,22/11/2003,Sociedad,Mallorca,0,1,A,0,1,A,1.72,3.25,4.33,1.75,3.3,4.5,1.7,3.2,4.2,1.62,3.25,5,1.73,3.25,4.33,1.73,3.25,4.33,1.72,3.2,4.33
SP1,22/11/2003,Villarreal,Barcelona,2,1,H,1,0,H,2.7,3.2,2.3,2.75,3.2,2.4,2.7,2.9,2.4,2.75,3.2,2.25,2.8,3.2,2.25,2.8,3.2,2.25,2.62,3.1,2.37
SP1,23/11/2003,Celta,Ath Bilbao,0,2,A,0,0,D,2,3.25,3.25,2,3.2,3.5,1.9,3.1,3.5,1.8,3.2,4,2,3.2,3.3,2,3.2,3.3,1.9,3.2,3.5
SP1,23/11/2003,Espanol,Sevilla,1,0,H,0,0,D,2.5,3.2,2.5,2.52,3.25,2.52,2.5,3,2.5,2.6,3.2,2.38,2.6,3.1,2.5,2.6,3.1,2.5,2.5,3.1,2.5
SP1,23/11/2003,Malaga,Osasuna,0,0,D,0,0,D,2,3.25,3.25,2,3.2,3.5,1.8,3.1,3.8,2.1,3,3.2,2,3.2,3.3,2,3.2,3.3,1.9,3.1,3.6
SP1,23/11/2003,Murcia,Valencia,2,2,D,1,1,D,4,3.25,1.8,4.1,3.3,1.8,4,3.2,1.75,4.33,3.2,1.73,4.33,3.25,1.73,4.33,3.25,1.73,4,3.1,1.8
SP1,23/11/2003,Real Madrid,Albacete,2,1,H,1,1,D,1.14,6.5,12,1.15,6.25,17,1.15,6,12,1.14,6,13,1.14,6,13,1.14,6,13,1.12,6,15
SP1,23/11/2003,Santander,Zaragoza,1,2,A,1,1,D,1.72,3.25,4.33,1.8,3.3,4.1,1.8,3.1,3.8,1.8,3.2,4,1.8,3.25,4,1.8,3.25,4,1.8,3.25,3.8
SP1,23/11/2003,Valladolid,Ath Madrid,3,1,H,2,1,H,2.37,3.2,2.62,2.45,3.25,2.6,2.4,3,2.6,2.38,3.2,2.6,2.4,3.2,2.6,2.4,3.2,2.6,2.37,3.1,2.62
SP1,29/11/2003,Ath Madrid,Malaga,2,0,H,1,0,H,1.72,3.25,4.33,1.72,3.35,4.5,1.65,3.2,4.6,1.67,3.25,4.5,1.73,3.25,4.33,1.73,3.25,4.33,1.66,3.3,4.5
SP1,29/11/2003,Murcia,Sociedad,2,2,D,0,1,A,2.5,3.2,2.5,2.65,3,2.55,2.7,2.9,2.4,2.6,3.2,2.38,2.62,3.2,2.38,2.7,3.1,2.38,2.5,3.1,2.5
